@relation query4

@attribute script_run_id string
@attribute script_run_dir string
@attribute length {80,100,200}
@attribute similarity {40,65,80}
@attribute word_length {10,12,16}
@attribute fixed_length {1}
@attribute duration numeric
@attribute total_fasta_length numeric
@attribute total_read numeric
@attribute total_written numeric
@attribute total_written/total_fasta_length numeric
@attribute total_genomes {10,20,30,40}

@data
'allvsall-run001-4247736439','/dcap1/mluiza/gecko/peerj/10genomas',80,40,12,1,150.0320000649,41519077,51832531692,25175385241,606,10
'allvsall-run002-4223069148','/dcap1/mluiza/gecko/peerj/10genomas',80,40,12,1,143.7690000534,41519077,51832531692,25175385241,606,10
'allvsall-run001-3161005162','/dcap1/mluiza/gecko/peerj/20genomas',80,40,12,1,200.2510001659,73285237,188399139282,82221412107,1121,20
'allvsall-run001-4265258789','/dcap1/mluiza/gecko/peerj/20genomas',80,40,12,1,197.9900000095,73285237,188399139282,82221412107,1121,20
'allvsall-run002-1143484704','/dcap1/mluiza/gecko/peerj/20genomas',80,40,12,1,185.7200000286,73285237,188399139282,82221412107,1121,20
'allvsall-run001-3846514587','/dcap1/mluiza/gecko/peerj/30genomas',80,40,12,1,419.2669999599,113556442,447972612899,192499546345,1695,30
'allvsall-run001-4036643363','/dcap1/mluiza/gecko/peerj/30genomas',80,40,12,1,366.486000061,113556442,447972612899,192499546345,1695,30
'allvsall-run002-2058125488','/dcap1/mluiza/gecko/peerj/30genomas',80,40,12,1,264.748000145,113556442,447972612899,192499546345,1695,30
'allvsall-run001-1795032072','/dcap1/mluiza/gecko/peerj/40genomas',80,40,12,1,403.7380001545,149261021,787611420939,332313353291,2226,40
'allvsall-run001-3902506731','/dcap1/mluiza/gecko/peerj/40genomas',80,40,12,1,476.9450001717,149261021,787611420939,332313353291,2226,40
'allvsall-run002-2482625839','/dcap1/mluiza/gecko/peerj/40genomas',80,40,12,1,530.0649998188,149261021,787611420939,332313353291,2226,40
'allvsall-run001-39887886','/dcap1/mluiza/gecko/peerj/10genomas',80,40,16,1,21.1970000267,41519077,34214874067,7557470515,182,10
'allvsall-run002-2564499763','/dcap1/mluiza/gecko/peerj/10genomas',80,40,16,1,21.878000021,41519077,34214874067,7557470515,182,10
'allvsall-run003-1000302847','/dcap1/mluiza/gecko/peerj/10genomas',80,40,16,1,21.7569999695,41519077,34214874067,7557470515,182,10
'allvsall-run001-3166249153','/dcap1/mluiza/gecko/peerj/20genomas',80,40,16,1,29.6819999218,73285237,119809657315,13630970140,185,20
